Castle
111	60
112	75
121	100
122	150
131	200
132	240
141	300
142	400
151	400
152	450
161	1000
162	1200
171	3000
172	5000
Rampart
211	70
212	90
221	120
222	150
231	200
232	225
241	250
242	275
251	350
252	425
261	850
262	950
271	2400
272	4000
Tower
311	30
312	40
321	130
322	160
331	150
332	200
341	350
342	450
351	550
352	600
361	1100
362	1600
371	2000
372	5000
Necropolis
411	60
412	70
421	100
422	125
431	200
432	230
441	360
442	500
451	550
452	600
461	1200
462	1500
471	1800
472	3000
Dungeon
511	50
512	65
521	130
522	170
531	250
532	280
541	300
542	330
551	500
552	575
561	850
562	1050
571	2500
572	4000
Inferno
611	50
612	60
621	125
622	175
631	200
632	250
641	250
642	270
651	500
652	700
661	900
662	1100
671	2700
672	4500
Stronghold
711	50
712	70
721	110
722	140
731	220
732	240
741	325
742	400
751	525
752	600
761	800
762	1100
771	2200
772	3500
Citadel
811	40
812	50
821	100
822	140
831	150
832	165
841	300
842	400
851	600
852	700
861	750
862	1100
871	1500
872	3000
Conflux
911	25
912	30
921	250
922	275
931	300
932	375
941	350
942	400
951	400
952	500
961	750
962	800
971	1500
972	2000
Neutral
011	10
012	40
021	150
022	100
031	200
032	300
041	400
042	401
051	500
052	501
061	750
062	751
071	10000
072	15000
073	20000
074	30000
